feature_id,feature,story_id,user_story,expected_behavior_based_on_code,source_evidence,test_performed,initial_result,errors_documented,fix_applied,post_fix_retest,status
F01,Skill activation and routing,US01,"As an assistant user, I want Qlik questions to activate the QlikSense skill so responses use the Qlik-specific workflow.","SKILL.md declares the QlikSense skill scope and directs Qlik lookups through the retrieval tool.","SKILL.md; README.md","Read SKILL.md and README.md.","Pass.","None.","None required.","Current SKILL.md and README.md contain Qlik scope and usage routing.","Pass"
F01,Skill activation and routing,US02,"As an assistant user, I want the skill to distinguish backend script work from frontend expression work so advice is context-correct.","SKILL.md separates Backend Data Load Script/ETL from Frontend Chart Expressions/UI and lists context-specific functions.","SKILL.md","Read SKILL.md backend/frontend sections.","Pass.","None.","None required.","Backend/frontend distinction is present and explicit.","Pass"
F02,Tool-first retrieval ladder,US03,"As an assistant user, I want the skill to prefer MCP retrieval so it does not load whole reference files unnecessarily.","SKILL.md instructs use of qlik_knowledge_search first when available.","SKILL.md; tool/qlik_mcp_server.py","Inspected SKILL.md and MCP server tools.","Pass.","None.","None required.","MCP tools expose qlik_knowledge_search and qlik_knowledge_domains.","Pass"
F02,Tool-first retrieval ladder,US04,"As an assistant user, I want a same-session CLI fallback when MCP tools are unavailable.","SKILL.md points to tool/qlik_search.py; qlik_search.py calls the same qlik_index.search core.","SKILL.md; tool/qlik_search.py; tool/qlik_index.py",".\tool\.venv\Scripts\python.exe .\tool\qlik_search.py ""Sum with TOTAL qualifier syntax"" --domain frontend --top-k 2","Initial CLI search worked for ASCII content but another query failed on Windows encoding.","UnicodeEncodeError on cp1252 console when result text contained Unicode arrows.","Configured CLI stdout/stderr to UTF-8 with replacement-safe errors.","Search retest returned 2 frontend passages successfully.","Pass"
F03,Reference corpus coverage,US05,"As a Qlik developer, I want backend scripting guidance available for LOADs, joins, ApplyMap, QVDs, and Section Access.","The references folder includes scripting_knowledgebase.md and advanced scripting/datamodel/QVD files.","references/*.md; README.md","Read file inventory and README coverage table.","Pass.","None.","None required.","Backend references are present and indexed by chunk generation.","Pass"
F03,Reference corpus coverage,US06,"As a Qlik developer, I want frontend expression guidance available for Set Analysis, Aggr, TOTAL, and visualisation design.","The references folder includes expression_knowledgebase.md, functions_setanalysis.md, functions_operators_aggregation.md, and visualization_guide.md.","references/*.md; README.md","Read file inventory and README coverage table.","Pass.","None.","None required.","Frontend and visualisation references are present and indexed by chunk generation.","Pass"
F04,Chunk generation,US07,"As a maintainer, I want references split into heading-based chunks so retrieval can cite focused passages.","build_chunks.py parses markdown headings and writes JSONL chunks with source, heading path, tags, and text.","tool/build_chunks.py",".\tool\.venv\Scripts\python.exe .\tool\build_chunks.py references tool\chunks_test.jsonl","Pass: generated 498 chunks, about 60443 corpus tokens, median about 98 tokens.","None.","None required.","Temporary test file was removed after verification.","Pass"
F04,Chunk generation,US08,"As a maintainer, I want chunk tags to support domain filtering.","build_chunks.py derives source-domain and keyword tags such as functions, advanced, qvd, performance, and section-access.","tool/build_chunks.py; tool/chunks.jsonl","Generated chunks and inspected code path for derive_tags.","Pass.","None.","None required.","Generated chunk count matched shipped chunks.jsonl count of 498.","Pass"
F05,Domain filters,US09,"As a CLI user, I want to list available domains before searching.","qlik_search.py --domains prints qlik_index.DOMAINS.","tool/qlik_search.py; tool/qlik_index.py",".\tool\.venv\Scripts\python.exe .\tool\qlik_search.py --domains","Pass: listed backend, frontend, functions, advanced, debugging, visualisation, komment, set-analysis, qvd, section-access, performance.","None.","None required.","Retest remained pass after fixes.","Pass"
F05,Domain filters,US10,"As a search user, I want domain filters to limit results to the requested knowledge area.","qlik_index._search_chroma and JSONL fallback filter hits by metadata tags.","tool/qlik_index.py",".\tool\.venv\Scripts\python.exe .\tool\qlik_search.py ""Sum with TOTAL qualifier syntax"" --domain frontend --top-k 2","Pass after fixes: returned frontend expression passages.","Initial Chroma path issues could prevent search before fallback.","Added JSONL fallback when Chroma is unavailable/read-only.","Retest returned 2 frontend passages.","Pass"
